tweet_id,favorites,retweets,date_time
892420643555336193,37438,8140,2017-08-01 16:23:56+00:00
892177421306343426,32168,6031,2017-08-01 00:17:27+00:00
891815181378084864,24259,3991,2017-07-31 00:18:03+00:00
891689557279858688,40734,8304,2017-07-30 15:58:51+00:00
891327558926688256,38967,8994,2017-07-29 16:00:24+00:00
891087950875897856,19579,2984,2017-07-29 00:08:17+00:00
890971913173991426,11438,1982,2017-07-28 16:27:12+00:00
890729181411237888,63125,18112,2017-07-28 00:22:40+00:00
890609185150312448,26944,4101,2017-07-27 16:25:51+00:00
890240255349198849,30878,7080,2017-07-26 15:59:51+00:00
890006608113172480,29687,7035,2017-07-26 00:31:25+00:00
889880896479866881,26945,4783,2017-07-25 16:11:53+00:00
889665388333682689,46519,9631,2017-07-25 01:55:32+00:00
889638837579907072,26212,4350,2017-07-25 00:10:02+00:00
889531135344209921,14629,2163,2017-07-24 17:02:04+00:00
889278841981685760,24430,5162,2017-07-24 00:19:32+00:00
888917238123831296,28174,4330,2017-07-23 00:22:39+00:00
888804989199671297,24745,4108,2017-07-22 16:56:37+00:00
888554962724278272,19178,3388,2017-07-22 00:23:06+00:00
888078434458587136,21058,3342,2017-07-20 16:49:33+00:00
887705289381826560,29211,5168,2017-07-19 16:06:48+00:00
887517139158093824,44821,11233,2017-07-19 03:39:09+00:00
887473957103951883,66657,17432,2017-07-19 00:47:34+00:00
887343217045368832,32578,10017,2017-07-18 16:08:03+00:00
887101392804085760,29588,5723,2017-07-18 00:07:08+00:00
886983233522544640,33966,7435,2017-07-17 16:17:36+00:00
886736880519319552,11640,3132,2017-07-16 23:58:41+00:00
886680336477933568,21706,4284,2017-07-16 20:14:00+00:00
886366144734445568,20489,3071,2017-07-15 23:25:31+00:00
886267009285017600,116,4,2017-07-15 16:51:35+00:00
886258384151887873,27074,6056,2017-07-15 16:17:19+00:00
886054160059072513,0,105,2017-07-15 02:45:48+00:00
885984800019947520,31551,6510,2017-07-14 22:10:11+00:00
885528943205470208,34805,6170,2017-07-13 15:58:47+00:00
885518971528720385,19775,3597,2017-07-13 15:19:09+00:00
885311592912609280,0,17804,2017-07-13 01:35:06+00:00
885167619883638784,21208,4207,2017-07-12 16:03:00+00:00
884925521741709313,74836,17507,2017-07-12 00:01:00+00:00
884876753390489601,26996,5399,2017-07-11 20:47:12+00:00
884562892145688576,23500,4500,2017-07-11 00:00:02+00:00
884441805382717440,26151,5451,2017-07-10 15:58:53+00:00
884247878851493888,70548,19729,2017-07-10 03:08:17+00:00
884162670584377345,19702,2870,2017-07-09 21:29:42+00:00
883838122936631299,21166,3308,2017-07-09 00:00:04+00:00
883482846933004288,44437,9529,2017-07-08 00:28:19+00:00
883360690899218434,21957,3562,2017-07-07 16:22:55+00:00
883117836046086144,35941,6397,2017-07-07 00:17:54+00:00
882992080364220416,23155,3770,2017-07-06 15:58:11+00:00
882762694511734784,27364,4712,2017-07-06 00:46:41+00:00
882627270321602560,27032,5853,2017-07-05 15:48:34+00:00
882268110199369728,43457,11160,2017-07-04 16:01:23+00:00
882045870035918850,28376,4754,2017-07-04 01:18:17+00:00
881906580714921986,23528,3272,2017-07-03 16:04:48+00:00
881666595344535552,48990,10272,2017-07-03 00:11:11+00:00
881633300179243008,123,7,2017-07-02 21:58:53+00:00
